name,artists,primary_color,album_name,album_image,album_type,spotify_url
TRÍO,NATHY PELUSO,undefined,Calambre,https://i.scdn.co/image/ab67616d0000b2735eb6fc30c41f63356f7af40a,album,https://open.spotify.com/track/6wCKKXJAfzP0BwPmLJKzrY
Die Trying,Michl,undefined,Die Trying,https://i.scdn.co/image/ab67616d0000b27392bb2cb42c80300cd2bb9c88,single,https://open.spotify.com/track/5JTAGruCIDyRLhKLwFkTnS
Why'd You Only Call Me When You're High?,Arctic Monkeys,undefined,AM,https://i.scdn.co/image/ab67616d0000b2730acf7f2eefe5bd36efbc26b4,album,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
Nothing Lasts,Bedroom,undefined,Grow,https://i.scdn.co/image/ab67616d0000b273ae2144ed48424bb9274c2136,album,https://open.spotify.com/track/3GOO81yxm6EZLkiXLs2sx2
qué le pasa conmigo?,Nicki Nicole, Rels B,undefined,qué le pasa conmigo?,https://i.scdn.co/image/ab67616d0000b273878213cd3e852b72b1cf7598,single,https://open.spotify.com/track/4TrYGTVgWOe2s3ZPn5qFTa
NUDE,Kidd Keo,undefined,NUDE,https://i.scdn.co/image/ab67616d0000b27322bd7ee63938b17c7d04e2d4,single,https://open.spotify.com/track/5LZEvEjAzndBZUaHrp1o0L
Middle,DJ Snake, Bipolar Sunshine,undefined,Encore,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,album,https://open.spotify.com/track/0g5EKLgdKvNlln7TNqBByK
Aloe Lite,Good Kid,undefined,Good Kid 2,https://i.scdn.co/image/ab67616d0000b27331f2bc61e22637b0e67e1fe5,single,https://open.spotify.com/track/0TpJF2IIk9idRMJuSSXMLh
Somebody That I Used To Know,Gotye, Kimbra,undefined,Making Mirrors,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e,album,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk, Pharrell Williams, Nile Rodgers,undefined,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f,single,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
Somebody's Watching Me,Rockwell,undefined,12" 80s Classics,https://i.scdn.co/image/ab67616d0000b2735284333459b08de72e2bda0d,compilation,https://open.spotify.com/track/2gGdO0zLa9W8ce1Ig0BzFK
Next Exit,Vacations,undefined,Next Exit,https://i.scdn.co/image/ab67616d0000b2739dbdce5c169c93707e0b9500,single,https://open.spotify.com/track/0xkSfBYxRMTLgrinRJlzfz
CRYSTALS (Slowed),PR1SVX,undefined,CRYSTALS (Remixes),https://i.scdn.co/image/ab67616d0000b2735e74adbb3161e09bc5a10c3d,single,https://open.spotify.com/track/3hfvzrj13TtfKq8P3WG2Q1
